CODIGO;NOMBRE;actividad;categoria;cantidad
13;BELGRANO;INVERNADA;VACAS;1979
13;BELGRANO;ENGORDE CORRAL C/CONFINAMIENTO;VACAS;423
13;BELGRANO;CRIA;VACAS;13058
13;BELGRANO;GUACHERAS COMUNITARIAS;VACAS;35
13;BELGRANO;TAMBO;VACAS;2480
13;BELGRANO;CABAÑA;VACAS;318
13;BELGRANO;PROVEEDOR DE TERNEROS DE TAMBO;VACAS;231
13;BELGRANO;CICLO COMPLETO (CRIA e INVERNADA);VACAS;115
13;BELGRANO;AGRICULTURA FAMILIAR;VACAS;5
13;BELGRANO;RECRIA;VACAS;110
13;BELGRANO;INVERNADA;VAQUILLONAS;2730
13;BELGRANO;ENGORDE CORRAL C/CONFINAMIENTO;VAQUILLONAS;3018
13;BELGRANO;CRIA;VAQUILLONAS;4350
13;BELGRANO;GUACHERAS COMUNITARIAS;VAQUILLONAS;5
13;BELGRANO;TAMBO;VAQUILLONAS;1166
13;BELGRANO;CABAÑA;VAQUILLONAS;190
13;BELGRANO;PROVEEDOR DE TERNEROS DE TAMBO;VAQUILLONAS;180
13;BELGRANO;CICLO COMPLETO (CRIA e INVERNADA);VAQUILLONAS;146
13;BELGRANO;AGRICULTURA FAMILIAR;VAQUILLONAS;4
13;BELGRANO;INVERNADA;NOVILLOS;2000
13;BELGRANO;ENGORDE CORRAL C/CONFINAMIENTO;NOVILLOS;60
13;BELGRANO;CRIA;NOVILLOS;607
13;BELGRANO;CICLO COMPLETO (CRIA e INVERNADA);NOVILLOS;32
13;BELGRANO;INVERNADA;NOVILLITOS;5195
13;BELGRANO;ENGORDE CORRAL C/CONFINAMIENTO;NOVILLITOS;5711
13;BELGRANO;CRIA;NOVILLITOS;2397
13;BELGRANO;GUACHERAS COMUNITARIAS;NOVILLITOS;1
13;BELGRANO;TAMBO;NOVILLITOS;166
13;BELGRANO;CABAÑA;NOVILLITOS;35
13;BELGRANO;CICLO COMPLETO (CRIA e INVERNADA);NOVILLITOS;70
13;BELGRANO;AGRICULTURA FAMILIAR;NOVILLITOS;2
13;BELGRANO;RECRIA;NOVILLITOS;38
13;BELGRANO;INVERNADA;TERNERAS;1335
13;BELGRANO;ENGORDE CORRAL C/CONFINAMIENTO;TERNERAS;1014
13;BELGRANO;CRIA;TERNERAS;3009
13;BELGRANO;GUACHERAS COMUNITARIAS;TERNERAS;8
13;BELGRANO;TAMBO;TERNERAS;511
13;BELGRANO;CABAÑA;TERNERAS;113
13;BELGRANO;PROVEEDOR DE TERNEROS DE TAMBO;TERNERAS;73
13;BELGRANO;CICLO COMPLETO (CRIA e INVERNADA);TERNERAS;32
13;BELGRANO;AGRICULTURA FAMILIAR;TERNERAS;3
13;BELGRANO;INVERNADA;TERNEROS;2146
13;BELGRANO;ENGORDE CORRAL C/CONFINAMIENTO;TERNEROS;2081
13;BELGRANO;CRIA;TERNEROS;2763
13;BELGRANO;GUACHERAS COMUNITARIAS;TERNEROS;9
13;BELGRANO;TAMBO;TERNEROS;255
13;BELGRANO;CABAÑA;TERNEROS;108
13;BELGRANO;PROVEEDOR DE TERNEROS DE TAMBO;TERNEROS;4
13;BELGRANO;CICLO COMPLETO (CRIA e INVERNADA);TERNEROS;26
13;BELGRANO;AGRICULTURA FAMILIAR;TERNEROS;1
13;BELGRANO;INVERNADA;TOROS;34
13;BELGRANO;ENGORDE CORRAL C/CONFINAMIENTO;TOROS;7
13;BELGRANO;CRIA;TOROS;484
13;BELGRANO;GUACHERAS COMUNITARIAS;TOROS;1
13;BELGRANO;TAMBO;TOROS;13
13;BELGRANO;CABAÑA;TOROS;32
